,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
22251,34.0,female,Associate,52378.0,13,RENT,6400.0,MEDICAL,9.63,0.12,5.0,520,Yes
15925,25.0,female,High School,12374.0,1,RENT,2100.0,MEDICAL,15.99,0.17,2.0,620,No
27644,32.0,female,Associate,187821.0,10,MORTGAGE,10000.0,PERSONAL,9.63,0.05,9.0,569,Yes
22945,31.0,female,High School,43092.0,10,RENT,8000.0,VENTURE,11.11,0.19,6.0,611,Yes
18328,30.0,female,Bachelor,55041.0,7,RENT,20000.0,VENTURE,11.86,0.36,7.0,652,No
16623,22.0,female,High School,83980.0,0,RENT,6000.0,VENTURE,12.99,0.07,3.0,643,No
2002,22.0,male,Bachelor,36784.0,0,MORTGAGE,2000.0,PERSONAL,12.61,0.05,4.0,665,No
8937,24.0,male,Associate,61090.0,2,RENT,8000.0,PERSONAL,15.96,0.13,3.0,572,Yes
41433,27.0,female,Bachelor,174652.0,7,MORTGAGE,25000.0,VENTURE,11.14,0.14,6.0,677,Yes
40246,27.0,female,Associate,35866.0,5,RENT,5000.0,VENTURE,10.8,0.14,6.0,527,Yes
21557,28.0,female,Bachelor,59626.0,9,MORTGAGE,10000.0,EDUCATION,6.99,0.17,9.0,630,No
23467,28.0,female,Bachelor,76803.0,5,MORTGAGE,6400.0,HOMEIMPROVEMENT,14.79,0.08,9.0,674,Yes
15573,26.0,male,Bachelor,24697.0,5,OWN,5000.0,PERSONAL,8.0,0.2,3.0,535,No
34792,23.0,male,Master,94554.0,1,MORTGAGE,1235.0,EDUCATION,10.12,0.01,4.0,642,No
8843,22.0,female,High School,73133.0,0,MORTGAGE,6000.0,EDUCATION,6.62,0.08,3.0,625,Yes
14636,24.0,female,Bachelor,61001.0,2,RENT,2000.0,HOMEIMPROVEMENT,11.01,0.03,2.0,677,No
14097,22.0,female,High School,120969.0,0,MORTGAGE,13500.0,EDUCATION,11.01,0.11,4.0,531,Yes
15860,23.0,male,High School,241227.0,2,MORTGAGE,5000.0,PERSONAL,7.43,0.02,4.0,584,Yes
31054,41.0,male,Associate,79043.0,18,RENT,10000.0,EDUCATION,11.01,0.13,15.0,594,No
32036,40.0,male,High School,52490.0,21,OWN,15000.0,EDUCATION,16.0,0.29,17.0,677,No
14426,26.0,male,Bachelor,37001.0,1,OWN,7500.0,EDUCATION,11.14,0.2,3.0,639,Yes
22421,34.0,male,High School,56405.0,11,RENT,7000.0,MEDICAL,8.9,0.12,8.0,642,No
13848,26.0,female,Master,117096.0,1,OTHER,25000.0,EDUCATION,11.58,0.21,2.0,583,No
13711,21.0,female,High School,40727.0,0,OWN,12000.0,VENTURE,11.48,0.29,4.0,525,Yes
13502,25.0,female,Bachelor,112108.0,2,MORTGAGE,1500.0,VENTURE,14.65,0.01,2.0,616,Yes
14347,24.0,male,High School,127132.0,0,MORTGAGE,5600.0,HOMEIMPROVEMENT,15.23,0.04,4.0,468,Yes
21771,32.0,male,Bachelor,71860.0,7,RENT,6000.0,HOMEIMPROVEMENT,11.49,0.08,8.0,647,Yes
36709,25.0,male,High School,55007.0,4,RENT,7795.0,DEBTCONSOLIDATION,8.08,0.14,4.0,601,Yes
17085,22.0,male,Master,39714.0,1,MORTGAGE,2500.0,EDUCATION,6.99,0.06,2.0,555,Yes
36970,37.0,male,High School,109009.0,15,MORTGAGE,14000.0,PERSONAL,11.84,0.13,12.0,679,No
37582,31.0,female,Master,147806.0,7,MORTGAGE,10000.0,MEDICAL,8.1,0.07,6.0,671,Yes
6405,22.0,female,Associate,60726.0,0,MORTGAGE,10000.0,VENTURE,14.96,0.16,3.0,628,Yes
10133,21.0,male,Master,29730.0,0,RENT,9600.0,HOMEIMPROVEMENT,14.27,0.32,4.0,671,No
33736,24.0,female,High School,60944.0,0,MORTGAGE,6000.0,PERSONAL,7.49,0.1,4.0,601,No
22345,28.0,male,Master,42912.0,5,RENT,7000.0,PERSONAL,12.69,0.16,8.0,655,Yes
14992,26.0,female,High School,145005.0,2,MORTGAGE,25000.0,DEBTCONSOLIDATION,11.01,0.17,3.0,619,Yes
9500,25.0,female,Bachelor,68264.0,1,MORTGAGE,8000.0,DEBTCONSOLIDATION,11.71,0.12,3.0,603,No
15716,22.0,female,High School,66067.0,0,RENT,15350.0,VENTURE,12.18,0.23,3.0,635,Yes
43578,23.0,male,Bachelor,65795.0,0,RENT,9976.0,EDUCATION,11.54,0.15,4.0,624,No
29115,29.0,male,Associate,74839.0,5,RENT,15000.0,PERSONAL,6.91,0.2,9.0,593,Yes
24337,27.0,male,Master,87471.0,4,MORTGAGE,15000.0,EDUCATION,11.01,0.17,5.0,648,Yes
22017,28.0,male,High School,78872.0,6,RENT,7000.0,HOMEIMPROVEMENT,12.69,0.09,10.0,651,Yes
25304,31.0,male,Bachelor,100780.0,10,MORTGAGE,7500.0,MEDICAL,11.01,0.07,6.0,715,Yes
40291,29.0,female,Bachelor,40879.0,9,RENT,5000.0,MEDICAL,13.79,0.12,10.0,648,Yes
29143,47.0,female,High School,366927.0,24,MORTGAGE,10000.0,HOMEIMPROVEMENT,13.43,0.03,12.0,665,Yes
21084,33.0,female,Associate,62018.0,11,RENT,5000.0,MEDICAL,14.96,0.08,9.0,605,No
29003,28.0,male,Bachelor,58706.0,6,MORTGAGE,3000.0,VENTURE,11.99,0.05,6.0,658,No
8056,22.0,male,Bachelor,58327.0,0,RENT,7200.0,MEDICAL,9.62,0.12,4.0,645,Yes
25769,28.0,male,High School,108984.0,6,MORTGAGE,5325.0,EDUCATION,7.88,0.05,10.0,679,No
31140,42.0,male,High School,80521.0,16,RENT,11200.0,DEBTCONSOLIDATION,5.79,0.14,12.0,652,No
30118,41.0,male,Master,26391.0,18,RENT,5500.0,MEDICAL,5.79,0.21,14.0,662,No
16641,23.0,female,High School,85551.0,0,RENT,9600.0,VENTURE,7.9,0.11,4.0,684,No
26492,27.0,male,Associate,126124.0,4,OWN,35000.0,EDUCATION,11.01,0.28,10.0,586,Yes
16464,25.0,female,Associate,61055.0,0,OWN,9175.0,PERSONAL,19.42,0.15,4.0,615,No
33268,22.0,female,Associate,29524.0,0,RENT,6422.0,VENTURE,11.33,0.22,3.0,615,No
34169,35.0,male,Associate,35995.0,11,MORTGAGE,2500.0,PERSONAL,8.54,0.07,12.0,580,Yes
335,24.0,female,Associate,202715.0,3,RENT,1800.0,HOMEIMPROVEMENT,11.12,0.01,3.0,563,Yes
17399,23.0,female,Bachelor,138382.0,0,MORTGAGE,10000.0,PERSONAL,13.06,0.07,4.0,648,Yes
25573,28.0,female,High School,104397.0,1,MORTGAGE,16000.0,EDUCATION,14.09,0.15,6.0,567,Yes
36832,29.0,female,High School,86017.0,5,RENT,12000.0,PERSONAL,11.8,0.14,7.0,578,No
5768,25.0,female,Bachelor,56708.0,4,MORTGAGE,9750.0,VENTURE,10.0,0.17,3.0,586,Yes
36410,23.0,female,High School,96874.0,2,MORTGAGE,2000.0,VENTURE,8.75,0.02,4.0,625,Yes
9567,24.0,female,Bachelor,73814.0,0,RENT,8150.0,DEBTCONSOLIDATION,17.27,0.11,3.0,637,No
15642,24.0,male,Associate,180855.0,4,MORTGAGE,24250.0,PERSONAL,10.38,0.13,3.0,626,Yes
14790,22.0,male,Associate,124975.0,4,MORTGAGE,15000.0,PERSONAL,9.63,0.12,4.0,648,No
29528,40.0,female,High School,37031.0,17,OWN,5000.0,HOMEIMPROVEMENT,13.43,0.14,11.0,661,No
22991,30.0,male,Doctorate,41814.0,3,RENT,8000.0,MEDICAL,7.9,0.19,5.0,656,No
21807,35.0,female,High School,31209.0,12,RENT,7050.0,DEBTCONSOLIDATION,12.23,0.23,7.0,663,No
41012,23.0,male,Master,34143.0,1,RENT,6202.0,HOMEIMPROVEMENT,10.8,0.18,4.0,550,Yes
4245,21.0,male,High School,50159.0,0,RENT,4500.0,DEBTCONSOLIDATION,13.49,0.09,3.0,588,No
27418,28.0,male,High School,168541.0,5,MORTGAGE,22000.0,MEDICAL,7.9,0.13,6.0,613,Yes
31593,38.0,male,Doctorate,132866.0,14,MORTGAGE,16000.0,PERSONAL,11.99,0.12,17.0,623,No
30630,36.0,male,High School,73040.0,11,MORTGAGE,15000.0,EDUCATION,7.88,0.21,17.0,563,No
1224,22.0,male,Bachelor,31134.0,0,OWN,6000.0,VENTURE,11.89,0.19,2.0,641,No
5143,24.0,female,Bachelor,53853.0,2,MORTGAGE,10000.0,PERSONAL,9.99,0.19,3.0,713,No
7709,25.0,female,Associate,37218.0,1,RENT,7000.0,MEDICAL,10.62,0.19,3.0,654,No
638,26.0,female,Associate,59603.0,7,RENT,20000.0,HOMEIMPROVEMENT,19.79,0.34,3.0,642,No
35335,35.0,male,Associate,73439.0,12,RENT,5097.0,PERSONAL,11.88,0.07,10.0,670,Yes
21088,34.0,female,Master,55002.0,11,MORTGAGE,5300.0,MEDICAL,13.23,0.1,6.0,659,Yes
12633,24.0,female,Bachelor,34643.0,6,RENT,3000.0,MEDICAL,10.25,0.09,3.0,646,No
10318,23.0,male,High School,80650.0,2,MORTGAGE,1500.0,MEDICAL,11.49,0.02,3.0,613,No
30178,38.0,male,Associate,58585.0,15,OWN,7600.0,VENTURE,7.88,0.13,11.0,652,No
26356,31.0,male,High School,120569.0,5,MORTGAGE,11000.0,DEBTCONSOLIDATION,7.51,0.09,5.0,594,Yes
7733,22.0,female,Associate,66413.0,3,MORTGAGE,4000.0,PERSONAL,12.53,0.06,2.0,679,Yes
5130,24.0,male,Bachelor,53793.0,4,MORTGAGE,4000.0,MEDICAL,11.01,0.07,3.0,633,Yes
43655,23.0,female,Master,51910.0,3,RENT,6000.0,HOMEIMPROVEMENT,12.48,0.12,4.0,690,No
30989,36.0,female,Associate,87359.0,11,OWN,6000.0,VENTURE,11.36,0.07,17.0,647,Yes
41021,27.0,male,Master,35305.0,6,OWN,12854.0,VENTURE,7.95,0.36,9.0,664,Yes
38345,23.0,female,Bachelor,63840.0,0,RENT,10000.0,VENTURE,10.29,0.16,2.0,582,No
23516,35.0,male,High School,70210.0,14,MORTGAGE,2000.0,PERSONAL,6.76,0.03,9.0,643,No
20368,34.0,female,Associate,39266.0,13,RENT,4500.0,MEDICAL,6.62,0.11,6.0,587,Yes
7447,22.0,male,Bachelor,44175.0,0,RENT,6700.0,PERSONAL,14.11,0.15,4.0,694,No
25314,35.0,male,Bachelor,100733.0,13,MORTGAGE,15000.0,HOMEIMPROVEMENT,11.01,0.15,7.0,569,Yes
29123,36.0,male,Bachelor,84049.0,13,RENT,35000.0,VENTURE,11.01,0.42,15.0,700,No
3381,23.0,male,Associate,37076.0,0,MORTGAGE,9500.0,VENTURE,15.31,0.26,2.0,539,No
41694,29.0,male,Associate,70477.0,7,RENT,7000.0,VENTURE,11.14,0.1,10.0,642,Yes
23306,32.0,female,Bachelor,74589.0,10,MORTGAGE,15000.0,HOMEIMPROVEMENT,6.99,0.2,10.0,690,Yes
16547,25.0,female,Bachelor,26160.0,3,RENT,5175.0,VENTURE,12.53,0.2,4.0,665,Yes
33940,30.0,male,Bachelor,144623.0,10,MORTGAGE,7500.0,VENTURE,10.33,0.05,8.0,544,Yes
6104,22.0,male,High School,19005.0,0,RENT,6000.0,EDUCATION,14.59,0.32,4.0,561,No
10659,22.0,male,High School,45134.0,1,RENT,10000.0,EDUCATION,8.59,0.22,2.0,664,Yes
19906,33.0,female,Bachelor,44662.0,12,MORTGAGE,3200.0,HOMEIMPROVEMENT,7.37,0.07,6.0,546,Yes
36550,30.0,female,Associate,29919.0,7,MORTGAGE,1200.0,MEDICAL,10.29,0.04,5.0,625,Yes
25253,28.0,female,Associate,99541.0,10,MORTGAGE,18000.0,EDUCATION,7.66,0.18,9.0,645,Yes
12679,25.0,female,Associate,76736.0,3,RENT,12000.0,DEBTCONSOLIDATION,14.26,0.16,3.0,624,Yes
27921,30.0,female,Bachelor,78999.0,9,RENT,12800.0,PERSONAL,15.2,0.16,6.0,667,Yes
41470,27.0,female,Bachelor,35820.0,6,RENT,4000.0,VENTURE,10.83,0.11,8.0,659,Yes
6799,21.0,female,Master,31197.0,1,RENT,7000.0,EDUCATION,12.69,0.22,2.0,607,Yes
2480,21.0,male,Bachelor,18370.0,2,RENT,3000.0,HOMEIMPROVEMENT,9.63,0.16,2.0,664,No
10830,26.0,male,Master,52673.0,3,RENT,10000.0,EDUCATION,14.65,0.19,4.0,649,Yes
34755,26.0,female,Associate,70776.0,4,MORTGAGE,4576.0,EDUCATION,12.28,0.06,9.0,569,Yes
10515,26.0,male,Master,64320.0,4,MORTGAGE,7500.0,MEDICAL,13.8,0.12,2.0,610,No
33587,35.0,male,High School,131843.0,15,MORTGAGE,15066.0,DEBTCONSOLIDATION,13.58,0.11,8.0,632,Yes
36555,22.0,male,High School,24942.0,1,RENT,3000.0,HOMEIMPROVEMENT,11.87,0.12,4.0,648,No
13982,23.0,male,High School,120827.0,0,MORTGAGE,4800.0,PERSONAL,11.49,0.04,2.0,678,No
8973,23.0,male,Associate,61180.0,0,RENT,8000.0,MEDICAL,12.73,0.13,4.0,695,No
13838,25.0,male,Bachelor,102033.0,1,MORTGAGE,2125.0,EDUCATION,15.01,0.02,4.0,678,No
1639,26.0,female,Bachelor,67403.0,4,RENT,1500.0,MEDICAL,12.84,0.02,4.0,650,Yes
11374,26.0,male,High School,90290.0,5,MORTGAGE,3000.0,MEDICAL,6.76,0.03,3.0,579,No
10083,24.0,male,High School,36947.0,0,RENT,9500.0,VENTURE,13.92,0.26,2.0,680,No
23658,33.0,male,Associate,53657.0,13,RENT,9000.0,MEDICAL,15.21,0.17,6.0,665,No
26560,31.0,male,Bachelor,113267.0,9,MORTGAGE,24000.0,VENTURE,16.08,0.21,6.0,689,No
11614,22.0,male,Associate,90893.0,1,MORTGAGE,18000.0,DEBTCONSOLIDATION,5.79,0.2,2.0,677,Yes
13228,26.0,male,Associate,108987.0,3,MORTGAGE,8000.0,EDUCATION,5.42,0.07,3.0,624,Yes
14081,24.0,female,Master,106608.0,0,RENT,14000.0,HOMEIMPROVEMENT,9.99,0.13,3.0,675,Yes
37512,22.0,female,High School,72875.0,0,MORTGAGE,8000.0,DEBTCONSOLIDATION,7.14,0.11,3.0,590,Yes
40570,24.0,female,Bachelor,66886.0,0,RENT,4200.0,HOMEIMPROVEMENT,14.14,0.06,3.0,605,Yes
22316,32.0,male,Bachelor,65712.0,10,MORTGAGE,10000.0,MEDICAL,7.74,0.15,7.0,608,Yes
7509,23.0,female,High School,30638.0,0,RENT,6475.0,DEBTCONSOLIDATION,9.91,0.21,3.0,484,Yes
34639,23.0,female,High School,43129.0,3,RENT,3000.0,VENTURE,10.78,0.07,3.0,648,Yes
36988,31.0,male,Master,63325.0,7,RENT,5000.0,DEBTCONSOLIDATION,12.96,0.08,9.0,638,No
30450,39.0,male,Associate,61517.0,13,RENT,7000.0,EDUCATION,11.86,0.11,11.0,720,No
27784,33.0,female,Bachelor,252837.0,7,MORTGAGE,20000.0,DEBTCONSOLIDATION,9.91,0.08,7.0,691,No
27259,33.0,male,Associate,142831.0,11,MORTGAGE,35000.0,DEBTCONSOLIDATION,17.49,0.25,7.0,649,No
40549,28.0,female,Associate,249690.0,3,MORTGAGE,21946.0,PERSONAL,10.6,0.09,6.0,707,No
19661,28.0,female,Associate,40318.0,4,RENT,3200.0,VENTURE,14.42,0.08,6.0,581,No
2465,22.0,male,Master,33465.0,0,RENT,2925.0,PERSONAL,10.71,0.09,4.0,625,Yes
16777,26.0,male,High School,64515.0,2,OWN,2500.0,VENTURE,9.91,0.04,2.0,543,Yes
26307,27.0,male,High School,121043.0,1,MORTGAGE,14400.0,PERSONAL,11.01,0.12,8.0,548,Yes
39777,28.0,female,Associate,61034.0,7,RENT,15000.0,PERSONAL,9.57,0.25,6.0,653,Yes
35513,36.0,female,Associate,29865.0,11,MORTGAGE,6200.0,EDUCATION,10.68,0.21,16.0,531,Yes
13613,23.0,female,High School,85433.0,0,MORTGAGE,15000.0,MEDICAL,8.9,0.18,4.0,678,No
25055,27.0,female,High School,34765.0,4,RENT,12000.0,MEDICAL,7.51,0.35,9.0,659,No
44104,24.0,male,Bachelor,27241.0,1,RENT,3532.0,DEBTCONSOLIDATION,12.59,0.13,5.0,595,No
31798,40.0,male,High School,175180.0,15,MORTGAGE,15000.0,DEBTCONSOLIDATION,7.88,0.09,15.0,636,No
44657,42.0,female,High School,23056.0,16,RENT,1126.0,DEBTCONSOLIDATION,14.78,0.05,13.0,661,No
20550,30.0,female,Bachelor,50080.0,3,MORTGAGE,18000.0,HOMEIMPROVEMENT,9.01,0.36,7.0,671,No
42421,29.0,female,Bachelor,19030.0,3,RENT,2720.0,EDUCATION,7.53,0.14,5.0,638,No
5566,22.0,male,Associate,86330.0,0,RENT,5000.0,MEDICAL,11.01,0.06,3.0,678,No
22381,35.0,male,High School,50331.0,12,RENT,7000.0,EDUCATION,13.49,0.14,7.0,686,Yes
33404,21.0,male,Associate,22491.0,0,RENT,2493.0,MEDICAL,11.6,0.11,3.0,627,Yes
25591,28.0,female,Bachelor,44053.0,7,OWN,2350.0,EDUCATION,12.99,0.05,5.0,673,No
20888,31.0,female,Associate,84821.0,13,RENT,9000.0,VENTURE,10.0,0.11,5.0,698,Yes
1437,23.0,male,High School,14224.0,0,RENT,1200.0,EDUCATION,6.91,0.08,3.0,661,Yes
38939,22.0,female,Bachelor,30844.0,0,MORTGAGE,6500.0,PERSONAL,11.38,0.21,5.0,574,No
39761,24.0,male,Bachelor,144841.0,2,MORTGAGE,20000.0,HOMEIMPROVEMENT,11.7,0.14,4.0,604,Yes
19754,33.0,female,Associate,44229.0,10,MORTGAGE,6250.0,PERSONAL,12.69,0.14,6.0,702,No
28346,28.0,male,Associate,48205.0,3,RENT,5000.0,PERSONAL,10.25,0.1,7.0,655,No
41901,21.0,female,Associate,54614.0,0,RENT,6000.0,VENTURE,9.55,0.11,4.0,668,No
531,24.0,female,Associate,71718.0,2,RENT,21500.0,MEDICAL,16.89,0.3,3.0,620,No
10768,22.0,male,Bachelor,49179.0,2,RENT,10000.0,EDUCATION,7.14,0.2,4.0,594,No
27682,30.0,female,Associate,66619.0,5,RENT,15800.0,DEBTCONSOLIDATION,14.72,0.24,9.0,546,Yes
36270,23.0,male,Associate,37026.0,0,RENT,6211.0,EDUCATION,11.37,0.17,4.0,689,Yes
39926,25.0,male,Associate,144992.0,5,MORTGAGE,10000.0,EDUCATION,10.75,0.07,3.0,676,No
22231,29.0,female,Associate,39298.0,8,RENT,6400.0,EDUCATION,14.96,0.16,5.0,632,No
41853,27.0,female,Associate,58372.0,5,RENT,11000.0,MEDICAL,7.8,0.19,5.0,540,No
30812,38.0,female,Associate,70418.0,17,RENT,9500.0,MEDICAL,16.35,0.13,16.0,593,No
33907,38.0,female,Bachelor,61024.0,14,RENT,4000.0,MEDICAL,12.74,0.07,8.0,682,Yes
9812,25.0,male,Associate,78820.0,2,MORTGAGE,4500.0,EDUCATION,10.65,0.06,2.0,606,Yes
11054,25.0,female,Associate,87024.0,2,MORTGAGE,9250.0,EDUCATION,12.53,0.11,4.0,668,Yes
34336,23.0,male,Associate,49102.0,0,MORTGAGE,6000.0,MEDICAL,12.68,0.12,4.0,678,Yes
37794,25.0,male,Associate,87774.0,2,MORTGAGE,6646.0,PERSONAL,12.14,0.08,3.0,658,Yes
40181,30.0,female,Master,180922.0,9,MORTGAGE,7925.0,EDUCATION,11.77,0.04,10.0,679,Yes
16263,22.0,female,Associate,157122.0,0,MORTGAGE,14500.0,DEBTCONSOLIDATION,11.01,0.09,2.0,599,Yes
7034,23.0,male,High School,18530.0,0,RENT,6250.0,VENTURE,15.27,0.34,2.0,621,No
5802,22.0,male,Master,57342.0,0,MORTGAGE,3600.0,MEDICAL,7.14,0.06,3.0,681,Yes
26837,27.0,male,Bachelor,138976.0,5,MORTGAGE,1000.0,MEDICAL,5.99,0.01,8.0,574,Yes
32078,36.0,male,Doctorate,62501.0,17,MORTGAGE,4775.0,EDUCATION,11.14,0.08,11.0,699,Yes
20741,27.0,male,Bachelor,51596.0,2,OTHER,2400.0,VENTURE,7.74,0.05,8.0,582,No
24018,27.0,male,Bachelor,43082.0,7,RENT,10000.0,VENTURE,13.48,0.23,10.0,695,No
44273,23.0,female,Bachelor,58737.0,0,RENT,15000.0,EDUCATION,7.89,0.26,3.0,672,No
32287,36.0,female,Master,53727.0,12,RENT,8000.0,DEBTCONSOLIDATION,17.49,0.15,15.0,677,No
16949,22.0,female,Associate,23687.0,0,RENT,3200.0,PERSONAL,15.28,0.14,2.0,618,No
175,21.0,male,Bachelor,241060.0,0,MORTGAGE,25000.0,DEBTCONSOLIDATION,13.99,0.1,2.0,699,No
29748,37.0,female,High School,45330.0,12,MORTGAGE,4000.0,EDUCATION,10.59,0.09,12.0,614,Yes
34212,25.0,female,Master,68132.0,1,MORTGAGE,5000.0,PERSONAL,6.24,0.07,4.0,579,Yes
37503,27.0,male,Associate,78921.0,4,RENT,7000.0,HOMEIMPROVEMENT,16.06,0.09,9.0,638,Yes
25276,29.0,female,Bachelor,72879.0,5,RENT,12000.0,MEDICAL,9.91,0.16,7.0,665,Yes
19314,31.0,male,High School,39026.0,10,MORTGAGE,2000.0,MEDICAL,13.61,0.05,6.0,639,Yes
35100,23.0,male,Bachelor,61701.0,0,RENT,2752.0,DEBTCONSOLIDATION,9.02,0.04,2.0,541,Yes
29923,38.0,female,Associate,144917.0,11,RENT,10000.0,DEBTCONSOLIDATION,10.28,0.07,12.0,692,No
744,22.0,female,Associate,27119.0,0,MORTGAGE,4000.0,PERSONAL,12.99,0.15,2.0,540,Yes
31022,36.0,female,High School,89810.0,13,MORTGAGE,1500.0,EDUCATION,10.62,0.02,16.0,560,Yes
39592,27.0,female,Bachelor,37088.0,2,RENT,2000.0,VENTURE,11.23,0.05,4.0,617,Yes
37120,25.0,female,Bachelor,96640.0,2,MORTGAGE,18000.0,PERSONAL,7.42,0.19,2.0,564,Yes
22801,29.0,male,Associate,68334.0,5,RENT,7725.0,EDUCATION,13.75,0.11,6.0,682,No
7703,21.0,female,Master,37353.0,0,RENT,7000.0,PERSONAL,10.99,0.19,2.0,608,No
20271,28.0,male,Doctorate,75097.0,3,RENT,4000.0,HOMEIMPROVEMENT,10.95,0.05,8.0,600,Yes
27469,32.0,female,High School,169401.0,9,MORTGAGE,20000.0,MEDICAL,6.91,0.12,10.0,704,No
2570,25.0,male,Associate,39630.0,0,RENT,3000.0,DEBTCONSOLIDATION,8.94,0.08,3.0,648,Yes
11845,22.0,male,Associate,92755.0,0,MORTGAGE,15000.0,DEBTCONSOLIDATION,11.01,0.16,4.0,658,Yes
2519,26.0,female,Bachelor,40001.0,2,MORTGAGE,3500.0,HOMEIMPROVEMENT,8.59,0.09,2.0,569,Yes
5058,22.0,female,Master,52759.0,0,MORTGAGE,7975.0,VENTURE,7.49,0.15,2.0,651,Yes
44752,30.0,female,High School,66061.0,7,RENT,23873.0,PERSONAL,15.71,0.36,8.0,677,No
23032,30.0,female,Associate,72864.0,8,MORTGAGE,4125.0,DEBTCONSOLIDATION,5.99,0.06,5.0,674,Yes
27291,33.0,male,Master,142370.0,7,MORTGAGE,25000.0,DEBTCONSOLIDATION,14.96,0.18,9.0,656,No
43108,28.0,female,Master,34719.0,3,RENT,8700.0,EDUCATION,14.61,0.25,9.0,635,No
24358,27.0,male,High School,87370.0,2,OWN,12000.0,EDUCATION,9.99,0.14,9.0,659,Yes
12023,24.0,female,Bachelor,95061.0,3,MORTGAGE,17400.0,VENTURE,13.48,0.18,2.0,660,Yes
7095,24.0,male,Bachelor,63089.0,0,MORTGAGE,12000.0,MEDICAL,7.88,0.19,2.0,537,No
15426,24.0,male,Associate,163019.0,1,MORTGAGE,21000.0,PERSONAL,10.74,0.13,2.0,667,No
15674,24.0,female,High School,99641.0,0,RENT,15125.0,HOMEIMPROVEMENT,10.36,0.15,4.0,605,Yes
34641,25.0,male,Associate,48526.0,4,RENT,7094.0,EDUCATION,11.57,0.15,6.0,672,No
1574,23.0,male,Master,34814.0,0,OWN,9250.0,MEDICAL,10.75,0.27,2.0,668,Yes
31720,45.0,female,Master,152033.0,17,MORTGAGE,6000.0,VENTURE,10.65,0.04,12.0,655,No
9541,26.0,female,Associate,76194.0,3,MORTGAGE,11000.0,DEBTCONSOLIDATION,11.01,0.14,3.0,652,No
34805,40.0,female,High School,61978.0,18,MORTGAGE,6728.0,EDUCATION,16.36,0.11,12.0,709,No
38029,22.0,female,Master,56288.0,0,MORTGAGE,4000.0,PERSONAL,10.37,0.07,2.0,674,Yes
21455,31.0,male,Associate,58549.0,8,MORTGAGE,14400.0,DEBTCONSOLIDATION,7.29,0.25,5.0,582,No
22511,27.0,male,Bachelor,51605.0,9,RENT,7200.0,DEBTCONSOLIDATION,10.59,0.14,6.0,603,No
3223,26.0,male,Master,61948.0,5,RENT,3500.0,DEBTCONSOLIDATION,13.24,0.06,4.0,663,No
33292,29.0,male,Associate,99497.0,6,RENT,18000.0,HOMEIMPROVEMENT,7.73,0.18,10.0,602,No
8457,22.0,female,Master,63645.0,2,MORTGAGE,14825.0,DEBTCONSOLIDATION,15.62,0.23,3.0,583,No
21313,29.0,male,Bachelor,57208.0,8,MORTGAGE,11200.0,PERSONAL,7.14,0.2,6.0,661,No
27324,32.0,female,High School,159208.0,10,MORTGAGE,18000.0,VENTURE,11.01,0.11,5.0,595,Yes
15512,26.0,male,Master,168653.0,1,MORTGAGE,24250.0,VENTURE,12.53,0.14,3.0,534,Yes
1927,22.0,female,High School,75568.0,2,RENT,2000.0,EDUCATION,15.27,0.03,2.0,634,No
37988,24.0,female,Bachelor,75125.0,0,RENT,10000.0,EDUCATION,14.12,0.13,3.0,681,No
23334,27.0,male,Associate,75264.0,7,MORTGAGE,15000.0,DEBTCONSOLIDATION,11.01,0.2,8.0,662,Yes
4488,26.0,female,Master,60925.0,4,RENT,4800.0,VENTURE,11.01,0.08,3.0,655,Yes
11088,25.0,female,Bachelor,87293.0,2,MORTGAGE,18000.0,PERSONAL,20.0,0.21,4.0,548,Yes
25618,34.0,male,Bachelor,106212.0,10,MORTGAGE,15000.0,EDUCATION,8.49,0.14,6.0,679,Yes
39897,27.0,female,Associate,50262.0,4,MORTGAGE,10000.0,HOMEIMPROVEMENT,10.19,0.2,8.0,607,No
8058,25.0,female,Master,58793.0,0,RENT,7200.0,DEBTCONSOLIDATION,11.36,0.12,3.0,688,Yes
10483,26.0,female,High School,82683.0,3,MORTGAGE,3600.0,MEDICAL,6.54,0.04,3.0,663,Yes
1842,23.0,female,Associate,119951.0,0,RENT,15000.0,PERSONAL,6.99,0.13,4.0,631,Yes
34486,24.0,female,Associate,98030.0,0,MORTGAGE,3082.0,EDUCATION,10.41,0.03,3.0,643,Yes
5690,23.0,female,Bachelor,56062.0,1,OWN,10000.0,EDUCATION,13.16,0.18,3.0,692,Yes
25033,31.0,male,Bachelor,96983.0,9,MORTGAGE,20000.0,EDUCATION,8.9,0.21,10.0,615,Yes
34453,33.0,male,Bachelor,79040.0,10,RENT,8756.0,EDUCATION,6.84,0.11,11.0,707,Yes
1601,22.0,female,Associate,34500.0,0,MORTGAGE,10000.0,PERSONAL,10.99,0.29,3.0,586,No
18511,29.0,female,Master,18303.0,7,RENT,1000.0,EDUCATION,16.32,0.05,8.0,564,No
24267,28.0,male,Master,78585.0,6,MORTGAGE,4000.0,VENTURE,13.79,0.05,8.0,681,No
36505,41.0,male,High School,170189.0,18,MORTGAGE,6000.0,VENTURE,11.15,0.04,15.0,658,No
34143,36.0,male,Associate,74384.0,15,MORTGAGE,15000.0,HOMEIMPROVEMENT,9.65,0.2,14.0,666,No
